Time 	Distance	 Laps	 µ	FrictionForce
35,801	0,8945032954216	47,12500	0,62602	1,87807
35,901	0,896875977516174	47,25000	0,63926	1,91778
36,001	0,899248659610748	47,37500	0,48557	1,45671
36,101	0,901621341705322	47,50000	0,56801	1,70403
36,201	0,903994083404541	47,62500	0,59214	1,77641
36,301	0,906366765499115	47,75000	0,41869	1,25606
36,401	0,908739447593689	47,87500	0,52323	1,56968
36,501	0,911112129688263	48,00000	0,58373	1,75119
36,601	0,913823783397675	48,14286	0,66042	1,98126
36,701	0,916535437107086	48,28571	0,56027	1,68082
36,801	0,919247090816498	48,42857	0,55685	1,67056
36,901	0,921958684921265	48,57143	0,59187	1,77561
37,001	0,924670338630676	48,71429	0,50155	1,50465
37,101	0,927381992340088	48,85714	0,48400	1,45201
37,201	0,9300936460495	49,00000	0,54217	1,62651
37,301	0,932466328144073	49,12500	0,61474	1,84423
37,401	0,934839010238647	49,25000	0,68768	2,06304
37,501	0,937211692333221	49,37500	0,50758	1,52275
37,601	0,939584374427795	49,50000	0,61373	1,84118
37,701	0,941957056522369	49,62500	0,58148	1,74445
37,801	0,944329738616943	49,75000	0,44329	1,32988
37,901	0,946702420711517	49,87500	0,51049	1,53147
38,001	0,949075102806091	50,00000	0,57944	1,73832
38,101	0,951786756515503	50,14286	0,64643	1,93929
38,201	0,954498410224915	50,28571	0,63273	1,89820
38,301	0,957210063934326	50,42857	0,57214	1,71641
38,401	0,959921658039093	50,57143	0,59594	1,78781
38,501	0,962633311748505	50,71429	0,52917	1,58752
38,601	0,965344965457916	50,85714	0,48133	1,44399
38,701	0,968056619167328	51,00000	0,52299	1,56897
38,801	0,970429301261902	51,12500	0,57757	1,73272
38,901	0,972801983356476	51,25000	0,70948	2,12844
39,001	0,97517466545105	51,37500	0,54205	1,62616
39,101	0,977547407150269	51,50000	0,61598	1,84793
39,201	0,979920089244843	51,62500	0,58172	1,74515
39,301	0,982292771339417	51,75000	0,47292	1,41876
39,401	0,98466545343399	51,87500	0,48329	1,44988
39,501	0,987038135528564	52,00000	0,56721	1,70161
39,601	0,989410817623138	52,12500	0,62017	1,86050
39,701	0,991783499717712	52,25000	0,69327	2,07980
39,801	0,994156181812286	52,37500	0,53556	1,60669
39,901	0,99652886390686	52,50000	0,61339	1,84016
40,001	0,998901546001434	52,62500	0,53599	1,60796
40,101	1,00127422809601	52,75000	0,46491	1,39473
40,201	1,00364685058594	52,87500	0,49893	1,49679
40,301	1,00601959228516	53,00000	0,57159	1,71476
40,401	1,00873124599457	53,14286	0,67921	2,03763
40,501	1,01144289970398	53,28571	0,59339	1,78017
40,601	1,01415455341339	53,42857	0,58783	1,76349
40,701	1,0168662071228	53,57143	0,58645	1,75935
40,801	1,01957786083221	53,71429	0,48609	1,45828
40,901	1,02228951454163	53,85714	0,46938	1,40814
41,001	1,02500116825104	54,00000	0,53800	1,61400
41,101	1,02737379074097	54,12500	0,59383	1,78150
41,201	1,02974653244019	54,25000	0,69283	2,07850
41,301	1,0321192741394	54,37500	0,52084	1,56253
41,401	1,03449189662933	54,50000	0,63037	1,89112
41,501	1,03686451911926	54,62500	0,51261	1,53782
41,601	1,03923726081848	54,75000	0,46723	1,40170
41,701	1,0416100025177	54,87500	0,46848	1,40544
41,801	1,04398262500763	55,00000	0,54943	1,64828
41,901	1,04669427871704	55,14286	0,61917	1,85752
42,001	1,04940593242645	55,28571	0,62815	1,88445
42,101	1,05211758613586	55,42857	0,55070	1,65210
42,201	1,05482912063599	55,57143	0,57303	1,71910
42,301	1,0575407743454	55,71429	0,48700	1,46099
42,401	1,06025242805481	55,85714	0,46546	1,39637
42,501	1,06296408176422	56,00000	0,49364	1,48093
42,601	1,06533682346344	56,12500	0,55826	1,67478
42,701	1,06770944595337	56,25000	0,64353	1,93060
42,801	1,07008218765259	56,37500	0,52494	1,57481
42,901	1,07245492935181	56,50000	0,60792	1,82375
43,001	1,07482755184174	56,62500	0,51151	1,53454
43,101	1,07720029354095	56,75000	0,45900	1,37701
43,201	1,07957291603088	56,87500	0,45566	1,36697
43,301	1,0819456577301	57,00000	0,53264	1,59793
43,401	1,08431839942932	57,12500	0,58215	1,74646
43,501	1,08669102191925	57,25000	0,64119	1,92355
43,601	1,08906364440918	57,37500	0,49405	1,48215
43,701	1,0914363861084	57,50000	0,57770	1,73311
43,801	1,09380912780762	57,62500	0,48492	1,45476
43,901	1,09618175029755	57,75000	0,45450	1,36351
44,001	1,09855437278748	57,87500	0,47625	1,42874
44,101	1,10092711448669	58,00000	0,53712	1,61137
44,201	1,10363876819611	58,14286	0,60386	1,81159
44,301	1,10635042190552	58,28571	0,55523	1,66569
44,401	1,10906207561493	58,42857	0,55263	1,65788
44,501	1,11177372932434	58,57143	0,52659	1,57976
44,601	1,11448538303375	58,71429	0,46300	1,38901
44,701	1,11719703674316	58,85714	0,45455	1,36364
44,801	1,11990869045258	59,00000	0,50948	1,52844
44,901	1,1222813129425	59,12500	0,54862	1,64585
45,001	1,12465405464172	59,25000	0,61944	1,85833
45,101	1,12702679634094	59,37500	0,48328	1,44983
45,201	1,12939941883087	59,50000	0,57845	1,73534
45,301	1,1317720413208	59,62500	0,48259	1,44776
45,401	1,13414478302002	59,75000	0,45507	1,36520
45,501	1,13651752471924	59,87500	0,45400	1,36199
45,601	1,13889014720917	60,00000	0,51954	1,55863
45,701	1,14160180091858	60,14286	0,55957	1,67870
45,801	1,14431345462799	60,28571	0,56706	1,70119
45,901	1,1470251083374	60,42857	0,50870	1,52611
46,001	1,14973664283752	60,57143	0,52097	1,56290
46,101	1,15244829654694	60,71429	0,46846	1,40538
46,201	1,15515995025635	60,85714	0,45397	1,36190
46,301	1,15787160396576	61,00000	0,48158	1,44473
46,401	1,16024434566498	61,12500	0,52495	1,57486
46,501	1,16261696815491	61,25000	0,57673	1,73018
46,601	1,16498970985413	61,37500	0,47860	1,43579
46,701	1,16736245155334	61,50000	0,55284	1,65851
